occurrence_groups,ratio,n_sig,n_insig
1,0.3881373569198751,373,961
2,0.09090909090909091,3,33
3,0.40540540540540543,15,37
4,0.1346153846153846,7,52
5,0.15217391304347827,7,46
6,0.09803921568627451,5,51
7,0.16666666666666666,5,30
8,0.14705882352941177,5,34
9,0.3125,10,32
10,0.06666666666666667,2,30
11,0.1875,3,16
12,0.21428571428571427,3,14
13,0.125,2,16
14,0.2,4,20
15,0.1111111111111111,2,18
16,0.15384615384615385,2,13
17,0.07692307692307693,1,13
18,0.38461538461538464,5,13
19,0.25,4,16
20,0.21428571428571427,3,14
21,0.2,3,15
22,0.1111111111111111,1,9
23,0.38461538461538464,5,13
24,0.1111111111111111,1,9
25,0.25,2,8
26,0.4,4,10
27,0,0,4
28,0,0,9
29,0.2,1,5
30,1.25,5,4
31,0,0,4
32,0.3333333333333333,3,9
33,0,0,4
34,0.6666666666666666,2,3
35,0.5,3,6
36,0,0,5
37,0,0,6
38,0.25,1,4
39,0.6666666666666666,4,6
40,0,0,3
41,0,0,1
42,0,0,5
43,0,0,4
44,0,0,3
45,0,0,2
46,0.25,1,4
47,0,0,4
48,0.4,2,5
49,0.25,1,4
50,0.125,1,8
51,0.5,1,2
52,0,0,3
53,0,0,3
54,0.6666666666666666,2,3
55,0,0,4
56,Inf,4,0
57,0,0,1
58,1,3,3
59,0,0,2
60,0.16666666666666666,1,6
61,0,0,1
62,0,0,1
63,2,2,1
65,0,0,2
66,0,0,2
67,Inf,1,0
69,0,0,2
70,0,0,2
71,0,0,6
72,0.3333333333333333,1,3
